,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Wall time,Step,Value
0,0,0,0,0,0,0,0,1670895844.2877266,0,0.1600370578467846
1,1,1,1,1,1,1,1,1670896143.3248026,1,0.14596469551324845
2,2,2,2,2,2,2,2,1670896440.1395905,2,0.14260926693677906
3,3,3,3,3,3,3,3,1670896740.1152792,3,0.1393965020775795
4,4,4,4,4,4,4,4,1670897032.53155,4,0.13712134435772896
5,5,5,5,5,5,5,5,1670897326.9698806,5,0.13509651869535447
6,6,6,6,6,6,6,6,1670897620.0240655,6,0.13292541578412054
7,7,7,7,7,7,7,7,1670897913.632983,7,0.13143036738038066
8,8,8,8,8,8,8,8,1670898202.2681413,8,0.1300548318773508
9,9,9,9,9,9,9,9,1670898493.511828,9,0.12911376766860486
10,10,10,10,10,10,10,10,1670898786.2906024,10,0.12764679677784446
11,11,11,11,11,11,11,11,1670899074.807674,11,0.12672112919390202
12,12,12,12,12,12,12,12,1670899359.7609928,12,0.1256751161068678
13,13,13,13,13,13,13,13,1670899646.364218,13,0.1251085627824068
14,14,14,14,14,14,14,14,1670899929.6021886,14,0.12428653091192245
15,15,15,15,15,15,15,15,1670900208.9015088,15,0.12332447655498982
16,16,16,16,16,16,16,16,1670900490.5696685,16,0.12205398119986058
17,17,17,17,17,17,17,17,1670900783.8918526,17,0.12106047794222832
18,18,18,18,18,18,18,18,1670901072.3163671,18,0.1208251401782036
19,19,19,19,19,19,19,19,1670901362.795448,19,0.11957711391150952
20,20,20,20,20,20,20,20,1670901656.9322028,20,0.11893767528235913
21,21,21,21,21,21,21,21,1670901943.0105276,21,0.11826683431863785
22,22,22,22,22,22,22,22,1670902232.1086252,22,0.11734400540590287
23,23,23,23,23,23,23,23,1670902516.0667481,23,0.11719092577695847
24,24,24,24,24,24,24,24,1670902800.9312696,24,0.11605081744492055
25,25,25,25,25,25,25,25,1670903084.6559606,25,0.11540990639477967
26,26,26,26,26,26,26,26,1670903371.9236598,26,0.11482670661062006
27,27,27,27,27,27,27,27,1670903649.412563,27,0.11472698710858822
28,28,28,28,28,28,28,28,1670903944.2341766,28,0.11497905887663365
29,29,29,29,29,29,29,29,1670904230.3360245,29,0.1129350069910288
30,30,30,30,30,30,30,30,1670904520.5705204,30,0.11196088176220656
31,31,31,31,31,31,31,31,1670904806.0805929,31,0.1117251230403781
32,32,32,32,32,32,32,32,1670905087.0672154,32,0.11169960759580136
33,33,33,33,33,33,33,33,1670905375.853972,33,0.1113443359732628
34,34,34,34,34,34,34,34,1670905662.2647743,34,0.1101839965209365
35,35,35,35,35,35,35,35,1670905955.3981078,35,0.11129679568111896
36,36,36,36,36,36,36,36,1670906242.7893894,36,0.10978678930550814
37,37,37,37,37,37,37,37,1670906525.1688955,37,0.10937516149133444
38,38,38,38,38,38,38,38,1670906814.1550505,38,0.10838651135563852
39,39,39,39,39,39,39,39,1670907096.2187235,39,0.10793980807065964
40,40,40,40,40,40,40,40,1670907383.0635743,40,0.107417444139719
41,41,41,41,41,41,41,41,1670907673.3951998,41,0.1071751126088202
42,42,42,42,42,42,42,42,1670907960.7925956,42,0.1103368116542697
43,43,43,43,43,43,43,43,1670908245.1467192,43,0.10695056514814497
44,44,44,44,44,44,44,44,1670908529.718738,44,0.1061781695112586
45,45,45,45,45,45,45,45,1670908810.7374306,45,0.10584276486188174
46,46,46,46,46,46,46,46,1670909098.018074,46,0.10555224204435944
47,47,47,47,47,47,47,47,1670909381.2336926,47,0.10558633357286454
48,48,48,48,48,48,48,48,1670909663.9509926,48,0.10531693641096354
49,49,49,49,49,49,49,49,1670909944.4405718,49,0.10578903313726187
50,50,50,50,50,50,50,50,1670910232.0136461,50,0.10519620487466456
51,51,51,51,51,51,51,51,1670910518.2920518,51,0.10595364347100257
52,52,52,52,52,52,52,52,1670910804.5203376,52,0.10467439973726868
53,53,53,53,53,53,53,53,1670911087.0333028,53,0.10433707563206554
54,54,54,54,54,54,54,54,1670911374.2755144,54,0.1041195251978934
55,55,55,55,55,55,55,55,1670911660.950524,55,0.10396261317655443
56,56,56,56,56,56,56,56,1670911946.9339454,56,0.10394821679219604
57,57,57,57,57,57,57,57,1670912211.5111735,57,0.10380061962641776
58,58,58,58,58,58,58,58,1670912472.2530599,58,0.10376780610531568
59,59,59,59,59,59,59,59,1670912729.1645966,59,0.10370624009519816
60,60,60,60,60,60,60,60,1670912982.977126,60,0.10348583655431867
61,61,61,61,61,61,61,61,1670913244.1189635,61,0.10342071382328867
62,62,62,62,62,62,62,62,1670913501.8894882,62,0.10338567700237036
63,63,63,63,63,63,63,63,1670913757.404187,63,0.10328769558109344
64,64,64,64,64,64,64,64,1670914013.210317,64,0.10320344045758248
65,65,65,65,65,65,65,65,1670914271.5878415,65,0.10309580704197288
66,66,66,66,66,66,66,66,1670914526.026951,66,0.10304088415578007
67,67,67,67,67,67,67,67,1670914783.8480856,67,0.1029603869188577
68,68,68,68,68,68,68,68,1670915034.160135,68,0.1029013864696026
69,69,69,69,69,69,69,69,1670915287.234861,69,0.10286230258643628
70,70,70,70,70,70,70,70,1670915536.2415252,70,0.10280737248249353
71,71,71,71,71,71,71,71,1670915788.7125196,71,0.10272936769761146
72,72,72,72,72,72,72,72,1670916040.8143167,72,0.10271632871590557
73,73,73,73,73,73,73,73,1670916293.3824914,73,0.10265958020463586
74,74,74,74,74,74,74,74,1670916546.1424634,74,0.10259433477185667
75,75,75,75,75,75,75,75,1670916800.2874901,75,0.102569570671767
76,76,76,76,76,76,76,76,1670917053.4224985,76,0.10252975407056512
77,77,77,77,77,77,77,77,1670917306.3437405,77,0.10249361339956524
